Title,Ingredients,Steps,URL
Tongseng Kambing,Bahan:--250 gr daging kambing--2 lembar daun salam--1 cm jahe geprek--air untuk merebus daging--250 ml santan sedang--Bahan lain:--1 lembar daun jeruk--2 lembar daun salam--1 batang serai--jintan--kapulaga--cengkeh--Bumbu Halus :--4 butir bawang merah--2 siung bawang putih--1/2 sdt ketumbar--1/4 sdt merica--1/2 cm kunyit--2 butir kemiri--garam--gula--Pelengkap:--irisan kol sesuai selera--irisan tomat--sesuai selera cabe rawit setan utuh--bawang goreng--,"1. Iris kecil kecil daging kambing, lalu rebus bersama dengan jahe geprek, air dan daun salam, sampai daging empuk, lalu buang airnya (ini tips dari blog bunda didi cara menghilangkan bau apek pada kambing)--2. lalu ditempat terpisah, tumis bumbu halus sampai benar benar wangi dan matang, masukkan semua bahan lain seperti sereh dan kawan kawan.--3. masukkan daging kambing yang tadi sudah direbus, tambahkan santan, lalu tunggu sampai meresap dan kuahnya menyusut.--4. masukkan bahan pelengkap, tunggu sampai kol matang, test icip rasanya. tongseng siap dinikmati dengan nasi hangat--Takaran santan bisa ditambah atau dikurang sesuai selera masing-masing, tingkat kekentalannya pun boleh disesuaikan ya. *untuk bumbu seperti jintaan, cengkih, dan kapulaga, biasanya sudah ada 1 bungkusan di pasaran untuk bumbu khusus tongseng, jadi tinggal beli aja sepaket kecil itu.--",/id/resep/1206508-tongseng-kambing
Nasi kebuli ayam megic com,"3 cup beras biasa--1/2 dada ayam, potong dadu cuci bersih tiriskan--1 bks bubuk kari instan--Secukupnya air/ air kaldu--3 sdm margarin--3 rias jari kayu manis--3 sdm bubuk kari--Bumbu halus :--4 siung bawang putih--6 siung bawang merah--1 rias jari kunyit--1/2 sdt bubuk merica--1 sdt ketumbar--","Panaskan margarin tumis bumbu halus hingga harum, tambahkan bubuk kari, kayu manis dan bumbu kari instan, aduk rata.--Kemudian masukkan potongan daging ayam, beserta air/air kaldu, aduk hingga bumbu meresap k daging ayam.--Campurkan tumisan daging ayam ke beras yg telah d cuci aduk rata, kemudian cook magic com di tengah proses masak aduk nasi supanya bumbunya merata, untuk takaran air'y bisa kita sesuaikan seperti kita memasak air biasa.--Ini hasil penampakan nasi yg sudah jadi, bisa d hidangkan dgn lauk yg kita inginkan.--",/id/resep/4442599-nasi-kebuli-ayam-megic-com
Tumis Udang Pedas,"1/4 kg udang bersihkan kepala dan ekornya--3 butir bawang merah iris tipis--2 butir bawang putih geprek dan iris tipis--2 buah cabai merah besar--5 buah cabai rawit--secukupnya Garam, gula pasir dan air--","Campur udang dengan perasan jeruk nipis agar menghilangkan bau amis--Tumis bawang merah, bawang putih dan cabai hingga harum dan layu--Masukkan udang, dan air secukupnya--Masukkan gula, garam lalu koreksi rasa.--Sajikan.--",/id/resep/3956191-tumis-udang-pedas
Tempe kering manis,1 buah tempe (iris kotak2)--iris Bumbu--3 siung bawang merah (iris tipis)--3 siung bawang putih (iris tipis)--7 buah cabe rawit (potong serong tipis)--4 buah cabe merah besar (potong serong)--1 buah tomat (potong kecil2)--secukupnya Kecap manis--Garam--Penyedap rasa (bisa juga tanpa ini)--secukupnya Minyak goreng--,"Panaskan minyak goreng ke dalam wajan goreng tempe yg sudah di potong sampai mengering/layu.. Tergantung selera bunda2 aja. Taburi garam dan penyedap rasa aduk sampai merata. Goreng 1 menit an agar bumbu dan tempe nya tercampur rata. Lalu tiris kan--Masukan bumbu yg sudah di iris semua tadi ke dalam wajan dan goreng sampai layu.kalau bisa minyak nya ga usah di ganti yah bunda biar bumbu garam dan penyedap rasa yg masih tertinggal sedikit di wajan tercampur dengan bumbu irisan yg sudah bunda masukan.--Masukan tempe yg tadi di tiriskan ke dalam wajan lagi,aduk merata.campurkan kecap manis sesuai selera.tunggu sebentar baru di angkat dan tiriskan.--Tempe kering kecap manis siap di hidangkan.enak di makan sama nasi yg anget2 yah bunda 😊--Selamat mencoba!!--",/id/resep/3960682-tempe-kering-manis
Bothok tahu tempe jerohan,250 g jerohan--1 papan tempe--1 papan tahu--10 siung bawang merah--2 siung bawang putih--sesuai selera Cabai--3 biji cabe merah--10 butir kemiri--I ruas kunyit--5 biji tomat--3 batang daun bawang--Ale--3 biji cabe hijau--Gula--Garam--Penyedap rasa--Daun pisang--,"Iris2 tempe, tahu, dan jerohan kecil2--Iris2 daun bawang, cabe hijau dan ale--Jemur daun pisang di cuaca yang panas atau ditempelkan sebentar di atas api kompor tapi jangan sampai terbakar ya, hanya agar daun pisang nya tidak mudah sobek.--Uleg bumbu bawang merah, bawang putih, camer, cabai rawit, kemiri, kunyit.--Tambahkan tomat iris kemudian uleg kasar.--Masukkan tahu, tempe, jerohan, daun bawang dan ale cabe hijau--Beri gula, garam dan penyedap rasa.--Jika sudah pas rasanya, masukkan kedalam daun pisang dan lipat dengan tusuk gigi.--Panaskan kukusan, kukus krglbh 45mnt dengan api sedang.--Sajikan dengan sayur bayam enak sekalii 😄--",/id/resep/4352535-bothok-tahu-tempe-jerohan
Pindang telur & cakar ayam,1/2 kg cakar ayam--10 butir telur--1 batang daun bawang--3 siung bawang putih--4 buah cabe--Bunga lawang secukup nya (pa ciao)--2 sdm gula batu--1 sdt bumbu kaldu--200 ml kecap jamur--1 liter air--,"Siapkan bahan nya,cuci bersih cakar ayam lalu rebus dan tiris kan--Rebus telur lalu kupas kulit nya--Cuci bersih daun bawang,cabe dan bawang putih,bawang putih geprek,lalu tumis hingga harum,kemudian masukan gula batu,masak hingga gula batu meleleh,kemudian masukan kecap jamur dan air masak hingga mendidih--Setelah air mendidih,masukan telur cakar ayam,bunga lawang dan bumbu kaldu,masak hingga matang,dan air menyusut,kurang lebih 40 menit--Pindang telur & cakar ayam nya siap untuk di sajikan--",/id/resep/4005745-pindang-telur-cakar-ayam
Beef Teriyaki ala Deyarl Kitchen,Daging Sapi--Bawang bombay--Bawang putih--Bumbu teriyaki langsung jadi--Saos--Mayonais--Kol baby--Wortel baby--Jagung manis--,Untuk salad(bisa dilihat diresep sebelumnya ya)--Potong daging sapi tipis dan kecil beri parutan nanas selama 15 menit lalu rendam dengan bumbu teriyaki 5 menit--Kemudian iris bawang bombay dan cincang halus bawang putih--Panaskan margarin lalu masukan bawang bombay dan bawang putih hingga layu--Lalu masukan daging sapi dan beri sedikit air tambahkan sedikit bumbu teriyaki jadi dan sedikit garam--Tunggu hingga air meresap dan daging matang--Kemudian hias sesuka hati--,/id/resep/4064447-beef-teriyaki-ala-deyarl-kitchen
Beef Teriyaki Simple,"300 gr daging sapi--Secukupnya air utk merebus daging--1/2 buah bawang bombay--2 siung bawang putih, k--1 sachet bumbu teriyaki--Secukupnya kecap manis--Secukupnya air rebusan daging--","Potong daging sesuai selera. Cuci bersih. Blansir terlebih dahulu. Lalu cuci lagi Trs Rebus daging sampai empuk. Sisihkan (saya rebus daging nya 1kg, dan saya ambil kira2 300gr utk dimasak teriyaki)--Tumis bawang bombay dan bawang putih. Masukkan daging sampai berubah warna. Beri air rebusan daging secukupnya.--Lalu beri Bumbu teriyaki, kecap manis,. Tes rasa. Jika sudah matang bumBu sudah meresap ke daging. Angkat dan sajikan.--",/id/resep/3307347-beef-teriyaki-simple
Poached Egg Sandwich,2 lembar Roti tawar--2 butir Telur--1 sdm Apple vinegar--1 sdt Garam--Air--Tomat--Selada--Mayonaise--,"Rebus air hingga mendidih--Masukan 1 sdm apple vinnegar dan garam.--Masukan telur segar yang sudah dilasi oleh cetakan ring.--Simmering hingga 3 menit.--Jika sudah angkat dengan slotted spoon.--Siapkan roti, olesi dengan mayonnaise.--Susun selada dan tomat di atasnya, kemudian letakan poached egg di atas.--Hidangkan di atas piring, dapat ditutup dengan roti lagi atau tidak (open face sandwich--",/id/resep/4043579-poached-egg-sandwich
Tumis daging kambing #kitaberbagi,"150 gr daging kambing iris tipis--secukupnya nanas--1 buah bawang putih iris tipis--1/2 buah bawang bombay iris tipis--2 buah cabe ijo besar buang bijinya iris sesuai selera--2 buah cabe merah besar buang bijiny iris sesuai selera--secukupnya lada, garam, gula--1 sdm kecap manis--kecap asin saya tidak pakai--tomat saya tidak pakai--","Siapkan bahan--1.siapkan daging beri garam dan lada sisihkan Diamkan selama 30 menit 2. iris bawang putih, bawang bombay, cabe hijau sisihkan--Siapkan pan, beri minyak/mentega, biarkan panas, masukkan bawang putih, tumis hingga harum, masukkan daging, masak hingga berubah warna hingga 1/2 matang masukkan nanas, cabe hijau dan bawang bombay, tambah gula dan kecap koreksi rasa, dan daging matang angkat--Sajikan--",/id/resep/3296568-tumis-daging-kambing-kitaberbagi
